"Name";"Color";"Rarity";"# Seen";"ALSA";"# Picked";"ATA";"# GP";"% GP";"GP WR"
"Banish from Edoras";"W";"C";"300321";"5.23";"39373";"7.74";"145308";"61.6%";"53.6%"
"The Battle of Bywater";"W";"R";"20461";"2.88";"5226";"3.30";"22103";"70.1%";"54.5%"
"Bill the Pony";"W";"U";"75669";"3.52";"19151";"4.38";"89911";"77.3%";"54.9%"
"Boromir, Warden of the Tower";"W";"R";"13889";"1.98";"6142";"2.11";"32208";"85.3%";"56.0%"
"Dawn of a New Age";"W";"M";"7311";"2.10";"2770";"2.20";"13166";"79.8%";"53.4%"
"Dúnedain Blade";"W";"C";"364599";"7.73";"41680";"11.18";"57325";"22.7%";"54.3%"
"Eagles of the North";"W";"C";"303439";"5.17";"48701";"7.42";"213732";"72.4%";"54.6%"
"Eastfarthing Farmer";"W";"C";"328097";"6.15";"41741";"8.95";"125631";"49.8%";"54.7%"
"East-Mark Cavalier";"W";"C";"332361";"6.17";"44640";"8.87";"155986";"57.7%";"54.7%"
"Éowyn, Lady of Rohan";"W";"U";"65897";"3.11";"15213";"3.90";"78216";"85.3%";"54.7%"
"Errand-Rider of Gondor";"W";"C";"238721";"3.98";"53984";"5.22";"276415";"83.7%";"55.6%"
"Escape from Orthanc";"W";"C";"371834";"8.02";"47228";"11.34";"57479";"20.0%";"54.8%"
"Esquire of the King";"W";"C";"352912";"7.07";"43524";"10.19";"102685";"38.8%";"54.3%"
"Faramir, Field Commander";"W";"U";"56451";"2.73";"15195";"3.26";"78402";"86.7%";"53.3%"
"Flowering of the White Tree";"W";"R";"12519";"1.87";"6250";"1.86";"32547";"85.7%";"55.4%"
"Fog on the Barrow-Downs";"W";"C";"305103";"5.54";"32113";"8.32";"97773";"50.9%";"52.6%"
"Forge Anew";"W";"R";"44414";"5.97";"5701";"9.22";"300";"0.9%";""
"Frodo, Sauron's Bane";"W";"R";"16974";"2.44";"5695";"2.64";"27110";"78.3%";"55.9%"
"Gandalf the White";"W";"M";"5854";"1.76";"2630";"1.74";"12115";"78.0%";"53.0%"
"Hobbit's Sting";"W";"C";"291013";"5.12";"43291";"7.22";"181949";"69.9%";"54.5%"
